№;Наименование;Ед.изм;Цена;Примечание
1;Аттракт, Неизвестная характеристика;кг;26938.800;
2;Биоэксклин ДЭЗ, Неизвестная характеристика;кг;;цена в прайсе не указана
3;Гербицид, Смерч;л;3000.000;
4;Гипохлорид кальция (Не использовать), Неизвестная характеристика;кг;820.000;в прайсе помечено «не использовать»
5;Глутаровый альдегид, Неизвестная характеристика;кг;1355.000;цена подтверждена заказчиком
6;Келион, Неизвестная характеристика;л;105555.000;
7;Клей от крыс, Неизвестная характеристика;шт;160.000;цена подтверждена заказчиком
8;Клиодезив 25 гр, Неизвестная характеристика;шт;803.000;
9;Мага Торнакс, Неизвестная характеристика;кг;1279.000;
10;Моющее средство (кг), кислотное Фоснитацид;кг;1155.000;
11;Моющие и Дезинфицирующие средства, НоваЛюкс-102 щелочное беспенное моющее с активным хлором;кг;648.900;
12;Моющие и Дезинфицирующие средства, Экоклин Универсал;кг;1910.000;
13;Моющие и Дезинфицирующие средства (л), кислотное Кателон 203;л;1891.800;
14;НоваЛюкс №115, Неизвестная характеристика;кг;667.100;
15;Сода каустическая, 98,5%;кг;385.000;цена подтверждена заказчиком
16;Средство дезинфицирующее (кг), Forcela CIP OXY кислотно-перекисное средство;кг;1406.000;
17;Средство дезинфицирующее (кг), беспенное кислотное моющее средство СИД-200;кг;2405.000;
18;Средство дезинфицирующее (кг), Гипохлорид кальция, порошкообразное;кг;883.000;
19;Средство дезинфицирующее (кг), Мирмекон 632В;кг;1730.000;
20;Средство дезинфицирующее (кг), Хачонет, щелочное пенное;кг;2190.000;
21;Средство дезинфицирующее (л), Dezonium, антисептик;л;2900.000;
22;Средство дезинфицирующее (л), Invasept Forte FD антисептик;л;1380.000;
23;Средство дезинфицирующее (л), Биоэксклин ДЕЗ Форте 6;л;1320.000;
24;Средство дезинфицирующее (л), Доктор Вик антисептик;л;3700.000;
25;Средство дезинфицирующее Clearadez, Неизвестная характеристика;кг;;нет цены
26;Средство дезинфицирующее ГиперДез, Неизвестная характеристика;кг;2900.000;печатная цена зачёркнута, от руки указано 1020 — требует уточнения
27;Средство инсектицидное, Альфа Инсектум;л;15600.000;
28;Средство инсектицидное, Дракер 10.2;л;21864.000;
29;Средство инсектицидное, Инсектфос;л;10247.000;
30;Средство инсектицидное (кг), Last Fly (Ласт Флай);кг;33000.000;
31;Средство инсектицидное (кг), Байцидал ВП 25;кг;44154.000;
32;Средство инсектицидное (кг), МС Маггот;кг;23000.000;
33;Средство инсектоакарицидное, Сольфисан;л (дм3);22883.700;
34;Средство родентицидное (кг), Бромодил;кг;;нет цены
35;Средство родентицидное (кг), Зерноцин НЕО 20 кг;кг;740.000;цена подтверждена заказчиком
36;Средство родентицидное (кг), Крысоед приманка;кг;1471.100;
37;Средство родентицидное (кг), Песткиллер, брикеты 5 кг;кг;3642.500;цена подтверждена заказчиком
38;Средство родентицидное (кг), Щелкунчик 10 кг;кг;3687.500;
39;Торнакс-С, Неизвестная характеристика;кг;2000.000;
40;Фоби Супер, Неизвестная характеристика;л;42743.250;
41;Хлор, ДП-2Т, Неизвестная характеристика;кг;3000.000;
42;Цифлунит, 5л;л;12876.000;
43;Шашка инсектоакарицидная, Фомор Вет, 100гр;шт;2199.600;
44;Формалин;кг;295.000;цена подтверждена заказчиком
45;Вирмагнум;кг;1889.000;цена подтверждена заказчиком
46;Кателон 101;кг;1448.800;цена подтверждена заказчиком
