Приложение;Процесс;День санразрыва;Код в графике;Вхождение;Участок;Цех;Средство;Птичников в цехе;Ед.изм;Норма средства на птичник;Раствор, л;Концентрация;Как задано;Подпись колонки нормы
2;Дезинфекция линий поения (санация 2);2;МС;;Г;Г 1;СИД-200;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
2;Дезинфекция линий поения (санация 2);2;МС;;Г;Г 2;СИД-200;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
2;Дезинфекция линий поения (санация 2);2;МС;;Г;Г 3;СИД-200;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
2;Дезинфекция линий поения (санация 2);2;МС;;Г;Г 4;СИД-200;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
2;Дезинфекция линий поения (санация 2);2;МС;;Г;Г 5;СИД-200;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
2;Дезинфекция линий поения (санация 2);2;МС;;Д;Д 1;СИД-200;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
2;Дезинфекция линий поения (санация 2);2;МС;;Д;Д 2;СИД-200;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
2;Дезинфекция линий поения (санация 2);2;МС;;Д;Д 3;СИД-200;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
2;Дезинфекция линий поения (санация 2);2;МС;;Д;Д 4;СИД-200;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
2;Дезинфекция линий поения (санация 2);2;МС;;Б;Б;СИД-200;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
2;Дезинфекция линий поения (санация 2);2;МС;;Е;Е;СИД-200;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
2;Дезинфекция линий поения (санация 2);2;МС;;А;А;СИД-200;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
2;Дезинфекция линий поения (санация 2);2;МС;;Ж;Ж;СИД-200;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
2;Дезинфекция линий поения (санация 2);2;МС;;В;В;СИД-200;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
2;Дезинфекция линий поения (санация 2);2;МС;;БП 12;БП 12;СИД-200;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
2;Дезинфекция линий поения (санация 2);2;МС;;БП 13;БП 13;СИД-200;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
2;Дезинфекция линий поения (санация 2);2;МС;;БП 14;БП 14;СИД-200;;л;6.0;300.0;0.02;средство;Кол-во дез. раствора, л
3;Мойка;2;МС;;Г;Г 1;Хачонет;;л;25.0;416.6666666666667;0.06;средство;Кол-во дез. раствора, л
3;Мойка;2;МС;;Г;Г 2;Хачонет;;л;25.0;416.6666666666667;0.06;средство;Кол-во дез. раствора, л
3;Мойка;2;МС;;Г;Г 3;Хачонет;;л;25.0;416.6666666666667;0.06;средство;Кол-во дез. раствора, л
3;Мойка;2;МС;;Г;Г 4;Хачонет;;л;25.0;416.6666666666667;0.06;средство;Кол-во дез. раствора, л
3;Мойка;2;МС;;Г;Г 5;Хачонет;;л;25.0;416.6666666666667;0.06;средство;Кол-во дез. раствора, л
3;Мойка;2;МС;;Д;Д 1;Хачонет;;л;25.0;416.6666666666667;0.06;средство;Кол-во дез. раствора, л
3;Мойка;2;МС;;Д;Д 2;Хачонет;;л;25.0;416.6666666666667;0.06;средство;Кол-во дез. раствора, л
3;Мойка;2;МС;;Д;Д 3;Хачонет;;л;25.0;416.6666666666667;0.06;средство;Кол-во дез. раствора, л
3;Мойка;2;МС;;Д;Д 4;Хачонет;;л;25.0;416.6666666666667;0.06;средство;Кол-во дез. раствора, л
3;Мойка;2;МС;;Б;Б;Хачонет;;л;25.0;416.6666666666667;0.06;средство;Кол-во дез. раствора, л
3;Мойка;2;МС;;Е;Е;Хачонет;;л;25.0;416.6666666666667;0.06;средство;Кол-во дез. раствора, л
3;Мойка;2;МС;;А;А;Хачонет;;л;25.0;416.6666666666667;0.06;средство;Кол-во дез. раствора, л
3;Мойка;2;МС;;Ж;Ж;Хачонет;;л;25.0;416.6666666666667;0.06;средство;Кол-во дез. раствора, л
3;Мойка;2;МС;;В;В;Хачонет;;л;25.0;416.6666666666667;0.06;средство;Кол-во дез. раствора, л
3;Мойка;2;МС;;БП 12;БП 12;Хачонет;;л;25.0;416.6666666666667;0.06;средство;Кол-во дез. раствора, л
3;Мойка;2;МС;;БП 13;БП 13;Хачонет;;л;25.0;416.6666666666667;0.06;средство;Кол-во дез. раствора, л
3;Мойка;2;МС;;БП 14;БП 14;Хачонет;;л;25.0;416.6666666666667;0.06;средство;Кол-во дез. раствора, л
4;Мойка;2;МС;;Г;Г 1;Моющее средство кислотное Фоснитацид;;л;23.0;230.0;0.1;средство;Кол-во дез. раствора, л
4;Мойка;2;МС;;Г;Г 2;Моющее средство кислотное Фоснитацид;;л;23.0;230.0;0.1;средство;Кол-во дез. раствора, л
4;Мойка;2;МС;;Г;Г 3;Моющее средство кислотное Фоснитацид;;л;23.0;230.0;0.1;средство;Кол-во дез. раствора, л
4;Мойка;2;МС;;Г;Г 4;Моющее средство кислотное Фоснитацид;;л;23.0;230.0;0.1;средство;Кол-во дез. раствора, л
4;Мойка;2;МС;;Г;Г 5;Моющее средство кислотное Фоснитацид;;л;23.0;230.0;0.1;средство;Кол-во дез. раствора, л
4;Мойка;2;МС;;Д;Д 1;Моющее средство кислотное Фоснитацид;;л;23.0;230.0;0.1;средство;Кол-во дез. раствора, л
4;Мойка;2;МС;;Д;Д 2;Моющее средство кислотное Фоснитацид;;л;23.0;230.0;0.1;средство;Кол-во дез. раствора, л
4;Мойка;2;МС;;Д;Д 3;Моющее средство кислотное Фоснитацид;;л;23.0;230.0;0.1;средство;Кол-во дез. раствора, л
4;Мойка;2;МС;;Д;Д 4;Моющее средство кислотное Фоснитацид;;л;23.0;230.0;0.1;средство;Кол-во дез. раствора, л
