Приложение;Процесс;День санразрыва;Код в графике;Вхождение;Участок;Цех;Средство;Птичников в цехе;Ед.изм;Норма средства на птичник;Раствор, л;Концентрация;Как задано
2;Дезинфекция линий поения (санация 2);2;МС;;Г;Г 1;СИД-200;4;л;0.12;6.0;0.02;раствор
2;Дезинфекция линий поения (санация 2);2;МС;;Г;Г 2;СИД-200;4;л;0.12;6.0;0.02;раствор
2;Дезинфекция линий поения (санация 2);2;МС;;Г;Г 3;СИД-200;4;л;0.12;6.0;0.02;раствор
2;Дезинфекция линий поения (санация 2);2;МС;;Г;Г 4;СИД-200;4;л;0.12;6.0;0.02;раствор
2;Дезинфекция линий поения (санация 2);2;МС;;Г;Г 5;СИД-200;4;л;0.12;6.0;0.02;раствор
2;Дезинфекция линий поения (санация 2);2;МС;;Д;Д 1;СИД-200;4;л;0.12;6.0;0.02;раствор
2;Дезинфекция линий поения (санация 2);2;МС;;Д;Д 2;СИД-200;4;л;0.12;6.0;0.02;раствор
2;Дезинфекция линий поения (санация 2);2;МС;;Д;Д 3;СИД-200;4;л;0.12;6.0;0.02;раствор
2;Дезинфекция линий поения (санация 2);2;МС;;Д;Д 4;СИД-200;4;л;0.12;6.0;0.02;раствор
2;Дезинфекция линий поения (санация 2);2;МС;;Б;Б;СИД-200;10;л;0.12;6.0;0.02;раствор
2;Дезинфекция линий поения (санация 2);2;МС;;Е;Е;СИД-200;10;л;0.12;6.0;0.02;раствор
2;Дезинфекция линий поения (санация 2);2;МС;;А;А;СИД-200;10;л;0.12;6.0;0.02;раствор
2;Дезинфекция линий поения (санация 2);2;МС;;Ж;Ж;СИД-200;5;л;0.12;6.0;0.02;раствор
2;Дезинфекция линий поения (санация 2);2;МС;;В;В;СИД-200;15;л;0.12;6.0;0.02;раствор
2;Дезинфекция линий поения (санация 2);2;МС;;БП 12;БП 12;СИД-200;12;л;0.12;6.0;0.02;раствор
2;Дезинфекция линий поения (санация 2);2;МС;;БП 13;БП 13;СИД-200;12;л;0.12;6.0;0.02;раствор
2;Дезинфекция линий поения (санация 2);2;МС;;БП 14;БП 14;СИД-200;12;л;0.12;6.0;0.02;раствор
3;Мойка;2;МС;;Г;Г 1;Кателон 101;4;л;3.0;20.0;0.15;раствор
3;Мойка;2;МС;;Г;Г 2;Кателон 101;4;л;3.0;20.0;0.15;раствор
3;Мойка;2;МС;;Г;Г 3;Кателон 101;4;л;3.0;20.0;0.15;раствор
3;Мойка;2;МС;;Г;Г 4;Кателон 101;4;л;3.0;20.0;0.15;раствор
3;Мойка;2;МС;;Г;Г 5;Кателон 101;4;л;3.0;20.0;0.15;раствор
3;Мойка;2;МС;;Д;Д 1;Кателон 101;4;л;3.0;20.0;0.15;раствор
3;Мойка;2;МС;;Д;Д 2;Кателон 101;4;л;3.0;20.0;0.15;раствор
3;Мойка;2;МС;;Д;Д 3;Кателон 101;4;л;3.0;20.0;0.15;раствор
3;Мойка;2;МС;;Д;Д 4;Кателон 101;4;л;3.0;20.0;0.15;раствор
3;Мойка;2;МС;;Б;Б;Кателон 101;10;л;3.0;20.0;0.15;раствор
3;Мойка;2;МС;;Е;Е;Кателон 101;10;л;3.0;20.0;0.15;раствор
3;Мойка;2;МС;;А;А;Кателон 101;10;л;3.0;20.0;0.15;раствор
3;Мойка;2;МС;;Ж;Ж;Кателон 101;5;л;3.0;20.0;0.15;раствор
3;Мойка;2;МС;;В;В;Кателон 101;15;л;3.0;20.0;0.15;раствор
3;Мойка;2;МС;;БП 12;БП 12;Кателон 101;12;л;3.0;20.0;0.15;раствор
3;Мойка;2;МС;;БП 13;БП 13;Кателон 101;12;л;3.0;20.0;0.15;раствор
3;Мойка;2;МС;;БП 14;БП 14;Кателон 101;12;л;3.0;20.0;0.15;раствор
4;Мойка;2;МС;;Г;Г 1;Кателон 203;4;л;1.0;20.0;0.05;раствор
4;Мойка;2;МС;;Г;Г 2;Кателон 203;4;л;1.0;20.0;0.05;раствор
4;Мойка;2;МС;;Г;Г 3;Кателон 203;4;л;1.0;20.0;0.05;раствор
4;Мойка;2;МС;;Г;Г 4;Кателон 203;4;л;1.0;20.0;0.05;раствор
4;Мойка;2;МС;;Г;Г 5;Кателон 203;4;л;1.0;20.0;0.05;раствор
