Процесс;Приложение;Площадка;Цеха;Средство;Ед.изм;Норма;Норма на;Единиц;Раз в месяц;Примечание
Дератизация;1;Г;Г 1, Г 2, Г 3, Г 4, Г 5;клей от крыс;шт;6;птичник;20;8;ставится заново на каждом обходе
Дератизация;1;Г;Г 1, Г 2, Г 3, Г 4, Г 5;Песткиллер;кг;2;корпус;5;8;корпус = цех, 5 корпусов по 4 этажа
Дератизация;1;Г;Г 1, Г 2, Г 3, Г 4, Г 5;Зерноцин НЕО;кг;30;площадка;1;8;
Дератизация;1;Д;Д 1, Д 2, Д 3, Д 4;клей от крыс;шт;6;птичник;16;8;ставится заново на каждом обходе
Дератизация;1;Д;Д 1, Д 2, Д 3, Д 4;Песткиллер;кг;2;корпус;4;8;корпус = цех, 4 корпуса по 4 этажа
Дератизация;1;Д;Д 1, Д 2, Д 3, Д 4;Зерноцин НЕО;кг;30;площадка;1;8;"взято как на Г; если норма идёт от числа корпусов, то 24 кг (6 кг × 4) — уточнить"
Дератизация;1;А;А;клей от крыс;шт;4;птичник;10;8;ставится заново на каждом обходе
Дератизация;1;А;А;Песткиллер;кг;0.5;корпус;10;8;
Дератизация;1;А;А;Зерноцин НЕО;кг;20;площадка;1;8;
Дератизация;1;Б;Б;клей от крыс;шт;4;птичник;10;8;ставится заново на каждом обходе
Дератизация;1;Б;Б;Песткиллер;кг;0.5;корпус;10;8;
Дератизация;1;Б;Б;Зерноцин НЕО;кг;20;площадка;1;8;
Дератизация;1;Е;Е;клей от крыс;шт;4;птичник;10;8;ставится заново на каждом обходе
Дератизация;1;Е;Е;Песткиллер;кг;0.5;корпус;10;8;
Дератизация;1;Е;Е;Зерноцин НЕО;кг;20;площадка;1;8;
Дератизация;1;Ж;Ж;клей от крыс;шт;4;птичник;5;8;ставится заново на каждом обходе
Дератизация;1;Ж;Ж;Песткиллер;кг;5;площадка;1;8;
Дератизация;1;Ж;Ж;Зерноцин НЕО;кг;10;площадка;1;8;
Дератизация;1;В;В;клей от крыс;шт;4;птичник;15;8;ставится заново на каждом обходе
Дератизация;1;В;В;Песткиллер;кг;0.4;корпус;15;8;
Дератизация;1;В;В;Зерноцин НЕО;кг;60;площадка;1;8;
Дератизация;1;БП 12;БП 12;клей от крыс;шт;4;птичник;12;8;ставится заново на каждом обходе
Дератизация;1;БП 12;БП 12;Песткиллер;кг;0.5;птичник;12;8;
Дератизация;1;БП 12;БП 12;Зерноцин НЕО;кг;40;площадка;1;8;
Дератизация;1;БП 13;БП 13;клей от крыс;шт;4;птичник;12;8;ставится заново на каждом обходе
Дератизация;1;БП 13;БП 13;Песткиллер;кг;0.5;птичник;12;8;
Дератизация;1;БП 13;БП 13;Зерноцин НЕО;кг;40;площадка;1;8;
Дератизация;1;БП 14;БП 14;клей от крыс;шт;4;птичник;12;8;ставится заново на каждом обходе
Дератизация;1;БП 14;БП 14;Песткиллер;кг;0.5;птичник;12;8;
Дератизация;1;БП 14;БП 14;Зерноцин НЕО;кг;40;площадка;1;8;
Обработка рук;14;все;все;Средство дезинфицирующее Доктор Вик антисептик;л;0.5;птичник;122;6;каждые 7 дней
Заправка дезковриков;10;все;все;Вирмагнум;л;0.2;птичник;122;6;каждые 7 дней
Заправка дезбарьеров;7;все;все;каустическая сода;кг;50;барьер;24;8;
